class,text
Liberal,"Who is ready to do the same in any public place during the weekends ?? We really need to stop Islamophobia and the fear of Muslims, and change that false image about us, it's everybody's duty..."
Liberal,"Racism is not ""Heritage and Honor'. It's time to stand up for what's right."
Liberal,"Racism is not ""Heritage and Honor'. It's time to stand up for what's right."
Liberal,Know your rights!  1. Record the interaction.  2. FOLLOW @cop_block_us
Liberal,10 years later. No changes! Hundreds of Americans have held demonstrations in San Francisco to protest police fatal shooting of #MarioWoods last month. Click to Learn More Cop Block Us AmericanCops
Liberal,Cheers to the actual heroes that protect and serve communities all over America and the world. Cop Block Us ( @cop Block AmericanCops
Liberal,"We don't want to honor racism, slavery and hatred. This is what Confederate Heritage is. Not My Heritage Rally"
Liberal,A message from Muslim American kids to all citizens of the us .. is this how we really want our kids to feel ?
Conservative,"A young black guy who was mentally disabled decided to end his life, but will only do that by making the cops kill him. This is absolutely insane in the highest order. He took a gun and ordered his other two brothers to take a video of the whole incident. Michael Ford, at the police vicinity opened fire and got the cop's attention. The filming was still in process as he commanded. The first cops who appeared fired back and almost immediately ended up drawing fire. He gave the other officer a chance to get into position when he opened fire. It's quite not understandable why his own cop shot him and shot the mentality ill man too. This is a good example of sick reality too. Is there any explanation why cops have started shooting each other?        Follow my Facebook: https://www.facebook.comnViIliamsandKalvin Subscribe to my YouTube Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.comnVilliams8kalvin"
Liberal,"Robert Bentley, Alabama Governor, has decided to reform prison system. This is actually good news? Alabama happens to be one of the nation's poorest states which have led to overcrowd in its prison. The prison system houses 24,000 inmates but it was designed for 13,000.Let me enlighten you a little on how it's going to be done. Four other larger prisons will be built additionally to prevent the rate of overcrowd. Even though one would have taught of using this money for projects like health care facilities and other, he chose prisons. It's not bad though, at least inmates will have free live behind bars. It shows how much he cares for his people. Follow my Facebook: https://www.facebook.comnViIliamsandKalvin Subscribe to my YouTube Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.com/Williams8kalvin"
Conservative,"Expecting mother includes late husband in maternity photo shoot Through the struggles and pains of losing a dear husband. Nicole Bennett has built courage to take maternity photos with her 4-year-old son. She added old photos of late husband Deonta, but they were slightly faded to appear as a spirit — a symbol of hope that he watches over them. She also did this as a memorial for her unborn daughter who is due March 25. We commend her for her boldness and we hope that she finds solace in these photos. #NicoleBernett #Maternityphotoswithlatehusband"
Liberal,"Brendan Carter decided to pay a visit to his sick uncle and was held by officers in a public RTS bus station in Rochester, New York. Carter said he was at a station waiting for bus. Freeing himself from emotional trauma, Carter decided to hip his soul with music, when he put his headphones on and started to dance. Suddenly, officers approached him and began asking him out of the premises. Apparently he had not committed any crime or violated any order, so he was disturbed and begun to argue with them. Seriously this guy was detained for useless reasons. This is what American police find interest in — unnecessary and useless way of harassing blacks. Very ridiculous.        Subscribe to my Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.com/Williams8kalvin"
Conservative,"A 21-year-old Oklahoma man was sentenced on Monday to 40 years in prison for sexually assaulting orphaned children while on a missionary trip in Kenya in 2014. Matthew works at an orphanage built and run by an American citizen named Upendo Children Centre. The main aim of this orphanage was to assist abandoned children in Nairobi, Kenya. Upon Matthew's arrival in Kenya, he insisted on not staying in the apartment allocated to him by authorities but preferred to stay in the very dormitory where these children stayed. He also based his choice on being in a better position to assist the children should the need arise. Mathew raped three teenagers — ages of 5, 9, and 15 respectively for not less than 8 times. He also maltreated a 12 year old boy. This outrageous act led to his sentence of 40 years imprisonment and a fined of $15, 863."
Conservative,"This is just for laughs :D No offends, just saying things the way they are. Guys, what do you think about this Trump (stitches parody)? #TheTrump #just4laughs"
Liberal,"It is so disheartening knowing that people are put behind bars because they failed to settle a fine. Most people are jailed because one way or the other there was no money to do what was necessary at a particular time even though they were innocent. Prosecutors have developed this platform as a gold mine, extracting huge sum of money from civilians. You can be put behind bars if you fail to comply with the demands. Suddenly one's life becomes tattered when jail comes in, because there is no freedom of making a better living. Federal prosecutors should shake up and hold judges and all these people who take advantages of people by making them pay huge sums of money or put someone behind bars because he/she couldn't pay a fine.       Follow my Facebook: https://www.facebook.comnViIliamsandKalvin Subscribe to my YouTube Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.comnVilliams8kalvin"
Liberal,"Ku Klux Klan is a movement in the United States that have advocated through terrorism for white supremacy, white nationalism and anti-immigration. They normally aimed at groups whom they opposed. The Klan held an anti- immigration rally on Saturday. They got surrounded by group of protestors who beat and kicked them violently. On Monday evening, a crowd of civil right protesters gathered for a vigil against Ku Klux Klan. It was a march where the protesters carried signs that had the inscription ""Power through Peace"". This march was an intended peaceful march which was meant to bring peace and unity.        Subscribe to my Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.com/Williams8kalvin"
Liberal,"Questions about why police shot and critically wounded a 17-year-old Somali refugee in Salt Lake City grew Monday as civil rights groups called for answers and several hundred protesters took the streets holdings signs that read, ""Stop killer cops."" It's very insane when those who are to protect us have turned into serial killers. The most annoying part is that they have refused to release the footage video. They need retraining. Whatever happened to Tasers? Whatever to rubber bullets? Whatever happened to shooting shots in the sky as a warning? Why are police wearing body cam and we can't see it? If they're right, let's see it. Follow my Facebook: https://www.facebook.comnViIliamsandKalvin Subscribe to my YouTube Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.com/Williams8kalvin"
Conservative,"A young black guy who was mentally disabled decided to end his life, but will only do that by making the cops kill him. This is absolutely insane in the highest order. He took a gun and ordered his other two brothers to take a video of the whole incident. Michael Ford, at the police vicinity opened fire and got the cop's attention. The filming was still in process as he commanded. The first cops who appeared fired back and almost immediately ended up drawing fire. He gave the other officer a chance to get into position when he opened fire. It's quite not understandable why his own cop shot him and shot the mentality ill man too. This is a good example of sick reality too. Is there any explanation why cops have started shooting each other?        Follow my Facebook: https://www.facebook.comnViIliamsandKalvin Subscribe to my YouTube Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.comnVilliams8kalvin"
Liberal,"An amount of $840K was donated to the family of the deceased James Anderson. Are they fucking kidding us? For them it's enough and wealth it, but to the family of Anderson it's not better than the life taken. These guys should pay a death penalty for taking a life. This is a racial act. Report says between hits; they screamed; ̀ White power!' before Dedmon ran him over. causing fatal injuries. There is no particular reason for whatever they did so America shouldn't think they have done something much greater. ̀ Money cannot buy life,' that is what Bob Nesta Marley said and he is absolutely right."
Conservative,"Back when I studied the #Holocaust in school, I remember thinking, ""How did Hitler get over 6 million people to follow along blindly and not fight back?"" Then I realised, I'm watching my fellow #Americans take the same path. Be among those who fight for their rights and freedom in this #policestate! Click to Learn More! Cop Block Us AmericanCops"
Liberal,"Quiz from EBONY magazine April 1952. Which is Negro? Which is White? Passing for white is a direct consequence of how race works in America. Because of the One Drop Rule if you look at all part black African you are seen as ""black"" by ""whites"" and suffer all the racism that goes with that. Click ""Learn More"" Black America ( @black Blacklivessss"
Liberal,Breaking news and analysis on the life of African American community in the US! Independent News For Black Amrican community Black Matters Black Matters
Liberal,"We don't want to honor racism, slavery and hatred. Sand ur ground - join the rally! Not My Heritage Rally"
Liberal,"A 17-year-old boy dies after being shot multiple times in West Baltimore. A Baltimore teenager died Monday morning, shortly after 10:30 am after being shot several times on a street corner less than two miles from his old high school. Baltimore Sun's crime reporter Kevin Rector said that an officer in the 1500 block of West Baltimore street s heard multiple gunshots comin... Teen Fatally Shot In West Baltimore I Black Matters Black Matters"
Liberal,"As what happened to India while in police custody remains a major concern, many are wondering why the 27-year-old was denied an appropriate medical evaluation and proper care. The frequent reports of police brutality and extreme use of force, leading to death has regrettably become a daily course. Consequently, protests and demonstrations overflow in every nook and cranny, demanding answers and justice. On February 1, India T. Cummings was under the influence of the synth... #JusticeForindia: 27-Year-old Denied Medical Treatment. Dies in Police Custody I Black Matters Black Matters"
Conservative,"21-year-old Lane Durham from Oklahoma is facing up to 40 years of confinement for sexual harassment, when he volunteered as a missionary in Kenya. `All I wanted was to follow God's plan for me "" Durham told before court pleading for mercy. In June 2014; Matthew Durham came under national spotlight when he was accused of raping and molesting several young black girls and boys in an orphanage in Kenya. Now, 21-year-old Lane Durham from Oklahoma is facing up to 40 years of confinement for sexual harassment, when he volunteered as a missi... 40 Years For Sexually Abusing Kenyan Orphans Isn't Enough I Black Matters Black Matters"
Conservative,"Sean Chung, 20, was sent to Riker's Island last month because of a music video he posted in November. The last thing you would imagine someone will go to jail for is their rap lyrics. Afterwards this is America --- the Land of the Free and home of the Brave. The country where artists like Ice-T and Ice Cube can sing about killing cops and win multi-million dollar record deals. ""I'm 'bout to dust som... A Blatant Disregard For The First Amendment: Young Rapper Jailed For Lyrics I Black Matters Black Matters"
Conservative,"Family members of India Kager will receive the video of India and Angelo's shooting today. March 10th. On March 8, women all over the world celebrated heartily, the pride in being a woman. But in the case of Gina, she only wishes the justice to be served. Gina's grieving ever since the death of her daughter India Kager along with Angelo Perry. India's boyfriend ; has been escalated by an attorney's de... Gina Kager Receives The Video Of India's Death Black Matters Black Matters"
Liberal,"A narcotics detective, who abused his power in the past. was shot in the shoulder by his fellow officer. It's time to reap what you sow. The day before yesterday an unidentified police sergeant accidentally shot Jon Gladstone, a narcotics detective, while firing at two unarmed drug dealers in Brooklyn. The drug dealers were surrounded by these two undercover cops. It happened while the criminals were sitting in a parked van. When the... NYPD Cop Shot Another Cop During A Drug Bust I Black Matters Black Matters"
Liberal,The VA State Attorney Colon Stolle sees no law violation in Virginia Police actions. The VA State Attorney Colon Stolle on Wednesday gave a verdict concerning the four Virginia Police Officers who were involved in the shooting of India Kager at a press conference. He is sure that they didn't violate the law and shouldn't be prosecuted. During the press conference. a minute video of... No Charges For VA Beach Police For Killing India Kager I Black Matters Black Matters
Liberal,"The family of Luis Martinez wants Dist. Attorney Jackie Lacey to file charges against the police officers who were involved in the fatal shooting of a 35-year- old man. On April 21 2015, Hollenbeck Division patrol officers were called by Martinez's wife reporting that her husband, Luis Martinez had stabbed himself. Luis Martinez was a 35-year-old man with a broken hip from falling over a railing from the third floor of his apartment. Martinez's injuries were so sev... Family Seeks Charges Against LAPD Involved in Fatal Shooting Of A Man I Black Matters Black Matters"
Liberal,"The mother of Tamir Rice wants to inspire young activists to rally against a system that is stacked against communities of color. Samaria Rice, the mother of 12-year-old Tamir Rice, who was fatally shot by officer Timothy Loehmann in 2014, will address police brutality and other important issues at Kalamazoo College in Michigan on Wednesday. She wants to speak out at the college in order to inspire students to stand up against... Samaria Rice To Speak At Michigan College I Black Matters Black Matters"
Conservative,"Since history men have developed fetishes on the curve body figures of black women making them feel like sex objects. Alessandrai Rhines explains why it is wrong to use black women as experiments. Since history men have developed fetishes on the curve body figures of black women making them feel like sex objects. Black women have been made to feel like they are highly sexualized beings since slavery. Poet Alessandria Rhines performed at Button Poetry Live; in January 2016, explaining in her p... Alessandrai Rhines Explains Why It Is Wrong To Use Black Women As Experiments I Black Matters Black Matters"
Liberal,"Maryland's Highest Court on Tuesday ordered a Baltimore police officer to testify against his colleagues who were also charged with Freddie Gray's death. Baltimore's police officer William Porter is set to testify against his colleagues who sort the death of Freddie Gray under the grant of limited immunity, which means that what he says can't be used against him during his own trial; as the court ordered. The Court of Appeals gave no reason for the d... Second Freddie Gray Trial Said Officer Must Testify Against Co- Defendants I Black Matters Black Matters"
Liberal,"University of Missouri assistant communications professor is appealing her firing last month over her role in racism protests last year. Melissa Click. who was caught on tape cursing student journalists and also police officers during protest last year, stated on Tuesday that her dismissal on Feb. 25 by university system curators was unprofessional. ""In their decision to terminate my employment; the curators bowed to conservative voi... Missouri Professor Dismissed Over Misconduct Files Appeal I Black Matters Black Matters"
Conservative,"A seventh-grade student at a private school in Hopewell, Virginia, was told by school administrators he must remove his dreadlocks if he wanted to stay in the school. A seventh-grade student at a private school in Hopewell, Virginia, was told by school administrators he must remove his dreadlocks if he wanted to stay in the school. Isaiah Freeman; 13, has had dreadlocks at the West End Christian School since third grade. It therefore, came as a surprise to his fa... Seventh-Grader Told To Cut Dreadlocks Or Leave The School I Black Matters Black Matters"
Conservative,"She didn't only win the women champions against Maria Sharapova last year; but now she is on her way to being the highest paid. On the fact of it. American sports are dominated by Black Americans. Talk of Basketball, Soccer. American football, Athletics and the like; we have represented the nation on an international level and almost always brought glory to this nation. This is because Black culture has imbibed into us drive... Serena Williams Will Be Worlds Highest Paid Female Athlete I Black Matters Black Matters"
Conservative,"Unrepentant hateful Trump supporter enjoyed sucker punching black man at rally. https://blackmattersus.com/4652-trump-supporter-who-punched-black-man-at- nc-rally-next-time-we-might-have-to-kill-him/ Following statements from his emperor saying he'd like to punch a protester in the face. Donald Trump supporter, John McGraw; 78, was caught on video sucker punching a black man during a rally Wednesday in Fayetteville; North Carolina. Videos posted to social media showing several angles of McGraw's... Trump Supporter Who Punched Black Man at NC Rally: ̀ Next Time We Might Have to Kill Him Black... Black Matters"
Liberal,"A St. Paul Police sergeant who posted on Facebook ""run them over"" about BLM protesters won't face any criminal charges. https://blackmattersus.com/4678-police-says-run-them-over-and-goes-scot- free/ The sergeant Jeffrey Rothecker, in his Facebook comment; referred to protesters as idiots. He wrote about how drivers could even escape charges if they ever killed any of the protesters during protests. He out smarted the police department and resigned before any disciplinary actions were taken. The... Police Says ""Run Them Over"" And Goes Scot-Free I Black Matters Black Matters"
Conservative,"Trump said ""You know, Barack Obama — African-American — if I were African- American, I would be so angry at him,"" ""I will do more for the African- American people in one year than Barack Obama has done in his seven years, soon to be eight years, and then by the way, he's out and thank goodness, OK?"". The controversial Trump has made so many promises especially to African-Americans during his recent campaigns. Some of these promises include Trump saying, ""I'm going to unify the country,"" Trump told thousands of people at a rally in this suburb of Detroit. ""I'm going to unify blacks and whites."" A... Donald Trump's Promises to African-Americans Black Matters Black Matters"
Liberal,"Governor of the State of Mississippi has proclaimed the month of April 2016 as Confederate Heritage Month. We don't want to honor racism, slavery and hatred. Yet this is what Confederate Heritage is. The Confederate flag is Americas most potent symbol of white supremacy. Symbols of hate have no place in our government.        Join our ""Not My Heritage"" Rally at 2 pm on March 26th, 398 Mississipi st, Jackson. Mississipi. More info: https://www.facebook.com/events/227388350945080/"
Liberal,We finally made it! Welcome to the official Black Matters Website! http://blackmattersus.com/
Liberal,"As what happened to India while in police custody remains a major concern, many are wondering why the 27-year-old was denied an appropriate medical evaluation and proper care. The frequent reports of police brutality and extreme use of force, leading to death has regrettably become a daily course. Consequently, protests and demonstrations overflow in every nook and cranny, demanding answers and justice. On February 1, India T. Cummings was under the influence of the synth... #JusticeForindia: 27-Year-old Denied Medical Treatment, Dies in Police Custody I Black Matters Black Matters"
Conservative,"Patricia Smith, a mother of Benghazi arrack victim's made some statements this Thursday broadcast on Fox Business Network. She said there is ""a special place in hell"" for people like Hillary ""and I hope she enjoys it there"".        Smith added in her interview: ""I want Hillary to talk to me personally, and tell me why there was no security there, when they were asked for it. I know this, because I spoke to my son. That day, he says he was really scared, because he saw the 17 people — 17 November, whatever it was, that they were walking around taking pictures. And he was afraid. He says it didn't look very good. And he was afraid. And that he asked for security, and he was turned down."" This must be a mean joke we're having that kind of liar as a possible president. Even understanding that most liberals are brainwashed I just don't get it - how can a politician caught in a lie of that scale still be trusted by electorate? One must be totally insane to follow THAT kind of leader. Patricia's son is an American hero and his blood is on Hillary's hands."
Liberal,"The liberal mass media tried to overblow a story about the KKK's endorsement of Trump. They claimed Donald is supported by David Duke and ""white supremacists"". The journalists are trying to depict Trump as a racist and continue their attempts even after Trump officially declared ""I don't know anything about David Duke... You're asking me a question that I'm supposed to be talking people I know nothing about.""        However, ""for some reasons"" the same mass media in their revelation campaign forgot to mention Hillary Clinton's ties to Robert Byrd, a former KKK leader. Hillary described him as a man of ""surpassing eloquence and nobility"". In 2010 after Byrd died she released a tribute video saying ""It is almost impossible to imagine the United States Senate without Robert Byrd. He was not just its longest-serving member; he was its heart, its soul, and its historian. From my first day in the Senate, I sought out his guidance, and he was always generous with his time and his wisdom. I admired his tireless advocacy for his West Virginia constituents, his fierce defense of the Constitution, and the traditions of the Senate, and his passion for a government that improves the lives of the people it serves."" So here the mass media give us an political paradox: a Republican candidate can't be endorsed by a former KKK member, but a Democrat can easily show her respect and honor to a former racist leader without being judged for that. Isn't that a little hypocritical?"
Conservative,"The former secretary of state's chain of lies continues and seems like not going to end. This Tuesday Hillary Clinton dared to state we have no immigration crisis and things are just fine with invader policy. ""I think we've done a really good job securing the border,"" she declared.        Well, that's her strategy — keep lying over and over until all her words become true (which is never). Or maybe by ""good job"" she meant Obama's Government provided Hillary's sponsors like Wall-Mart Corporation with low- paid illegal workers? If one day God lets this liar enter the White House as a president — that day would be a real national tragedy."
Conservative,"Hillary Clinton made new promises to extend our traitor President Obama's pro-immigration policy. She also promised to offer illegals residency and ""a path of citizenship"". During the debate on 8th March she was asked about deportation.       Clinton said: ""I would not deport children. I do not want to deport family members either. I want to, as I said, prioritize who would be deported: violent criminals, people planning terrorist attacks, anybody who threatens us. That's a relatively small universe."" Oh wonderful, so she admits she wants to be the second Obama, like the first one isn't enough. And we know what's behind this world ""children"" — young men who claim to be less than 18. Same way the ""illegals without a criminal record"" is also those who are not proved to be criminals yet. Crossing the U.S. border without permission is already a crime. A crime that should bring just one simple punishment — deportation and a prohibition of further entrance. We do not need a president who doesn't understand that. We do not need a president who forgives this kind of crime. We do not need Hillary."
Conservative,"This Monday Clinton had a public interview event where she was asked to tell about Iraq war and Intervention in Libya during her being as a secretary of state. After attacks in Benghazi, after her actions and lies caused a national scandal, after officially being caught on lies she afforded herself to make a statement ""I've said Iraq was a mistake. Libya was a different kind of calculation. And we didn't lose a single person.""        More than three years passed after the accident and still Clinton didn't even contact Benghazi victims' families. She didn't even try to ask for excuse, like those murdered Americans don't even exist. We definitely don't need a President who lies without a twinge of conscience. Luckily most Americans won't trust such an obvious liar."
Liberal,We speak for all fellow members of LGBT community across the nation.
Liberal,"You can color your own Bernie Hero!        There is a new coloring book calling ""Buff Bernie: A coloring Book for Berniacs"" is full of very attractive doodles of Bernie Sanders in muscle poses. The author of the book said that she wanted people to stop taking this whole thing too serious. The coloring is something that suits for all people. I totally agree with her! I've recently heard some hateful comments from the Hillary supporters about Bernie Sanders and his supporters, so I really love the idea of this color book. I think that Bernie would love it!"
Liberal,"The 4 brothers were living in a foster home because they had no parents. 3 of them got lucky and were adopted by a couple. After the last born lived there for 389 days, she was adopted by Jay Hauston, a friend to the first couple who lives in the neighborhood and upon agreement; the kids get to grow up together. #Charityisavirtue #4Adoptedkids #JayHauston"
Liberal,Join us at Erie Center! We need your support: Justice for India Cummings! India Cummings. SayHerName
Conservative,"Join event, don't stay indifferent! New Sandra Bland! We and support. India Cummings. SayHerName"
Conservative,They take your job and money! Stop illegal immigration!
Conservative,Your voice counts! We are against illegal immigration!
Conservative,"There is no place for political correctness, join to say what YOU think!"
Conservative,There is nothing good in illegal immigration! Press Like to Join!
Liberal,News is telling you enough about good refugees. We take on bad ones.
Conservative,You are not the only one to despise immigration. Join our community!
Conservative,This page is dedicated to protection against illegal immigrants!
Conservative,"Religious leaders joined local organizations in rallying support for two men who said they were attacked outside a convenience store this weekend in what police are investigating as a possible hate crime. Authorities are reviewing surveillance video of the reported attack, which occurred shortly after 3 a.m. Saturday at the Kwik Shop at 4820 E. 21 st St. That's just northeast of the Wichita State University campus. One of the victims was Khondonkor Usama, Muslim 23, the second victim, is a 19-year-old student who has chosen to remain anonymous. They were getting gas and snacks at about 3 a.m. Saturday when they noticed a man shouting at someone who had apparently asked him for gas money. When the suspect began using racial slurs against the man who asked him for money, one of the students attempted to intervene. The attacker then turned his wrath on the two students, stopping his motorcycle in front of Usama's car and approaching Usama's friend, who had gotten out of the car. The suspect called his friend ""brown trash"" and told him he had to ""leave this country,"" According to Usama's account, his friend responded: ""This is my country. Who the hell are you to tell me to leave?"" The incident ""escalated really quick,"" with the suspect attempting to punch his friend, Usama said. When he attempted to break up the fight, Usama said he was assaulted and knocked down. He called 911, and as he was on the phone the attacker rode circles around the two students, chanting ""Trump! Trump! Trump!"" and screaming, ""We'll make America great again! We'll throw you out of the wall!"""
Liberal,Stop Islamophobia
Liberal,Stop Islamophobia
Liberal,I'm a Muslim and I'm proud
Liberal,I'm a Muslim and I'm proud
Liberal,"An Open Letter to Hillary Clinton: Dear Mrs. Clinton, We are trying not to be political, but the current presidential elections and the rise of hate against Muslims made us realize that it is time to stand and let our voices be heard. We know that you defend American Muslims now in your presidential campaign, but did you support us before campaign? We didn't forget who supported the war in Iraq, we are Muslims and Americans, so we know your support to invade Iraq in 2003 have caused hundreds of American soldiers to die hundreds of miles away from their homes, and also millions of Iraqi Muslims, including innocent men, women and children, to die in their homes, and for what? Libya! You supported bombing and destroying the whole country just to kill AI- Gaddafi. You said in an interview: ""We came, we saw, he died"". Let's not forget about Benghazi, where you declined to increase the embassy security, and that caused the death of the U.S. Ambassador J. Christopher Stevens and U.S. Foreign Service Information Management Officer Sean Smith and CIA contractors Tyrone S. Woods and Glen Doherty and Ten others were also injured in the attacks. You killed Saddam Hussein and AI-Gaddafi in Iraq and Lybia leaving the countries there in chaos, which led to the birth of ISIS, which is now a threat not only to the U.S. but the whole world! You are supporting gun control, disarming the American citizens and at the same time selling weapons to groups in the Middle East to fight their leaders, creating on the short run terrorist groups as we saw in Libya, Iraq, Afghanistan and Syria. 8 years ago you were against refugees, but now you support them. 10 years ago you were against same sex marriage, but now you support it. You change your views very fast. You speak as a democrat and act as a republican. Sorry, but you can not be our representer, you can not be the president of the United States. Sincerely, United Muslims of America"
Conservative,"YES, she is ""Kadra Mohamed"", Minnesota's first hijab wearing police woman and the first Somali female officer. Kadra Mohamed is only 21 years old and already making history."
Liberal,"This is the REAL ISLAMIC SHARIA LAW 11 .... ""If you can't afford to buy bread take it for free"""
Conservative,"The KKK had used fear, intimidation and murder to brutally oppress over African-Americans not less than what ISIS did to the Syrians ..."
Liberal,we are Muslims and we stand together
Liberal,we are Muslims and we stand together
Liberal,USA Muslims united
Liberal,USA Muslims united
Conservative,let's see who we support the most .... Like for Clinton. Comment for Bernie ;)
Liberal,We are all immigrants and refugees ... if it's not you then it's your father or grandfather ... we all came on the same boat !I #refugeesWelcome #SyrianRefugees
Liberal,"It was a powerful moment in an America that has seen hate crimes against Muslim Americans triple since November. In an America where the Republican political party had a 44% very unfavorable view of Islam, despite 78% of the same Republican respondents saying they neither worked with nor had any Muslim friends. according to a YouGov poll conducted from 6 -9 March, 2015. In an America where failed businessman and top contender for the GOP nomination Donald Trump has publicly and unapologetically called for widespread surveillance on mosques, mass deportations, denial of asylum to all Muslims and has lauded a plan to shoot Muslims with bullets covered in pigs blood. So when Bernie Sanders acts like a human being and commits his prospective presidency (not to mention entire career) to combatting racism, xenophobia and Islamophobia, it shouldn't come as a surprise to anyone that Muslim Americans overwhelmingly support his bid for the White House."
Liberal,It happens throughout the centuries. Black people are being oppressed and it seems that Govt simply treats us as their slaves. Get breaking news and analysis on the life of African American community in the US. Black Matters Blackluive
Conservative,Just the response to those who think that if a woman wears the #hijab she is a threat.
Liberal,"Instagram Of The United States.Don't be a stranger, be a patriot! Follow us! instotus Instagram Of The United Instotus"
Liberal,The original Statue of Liberty in France is black. The Statue of Liberty was originally a black woman. The actual model that posed for the statue was also a black woman. The statue was a gift from France to America to celebrate the role black soldiers played in winning the Civil War. These are facts... Click to Learn More! Black America ( @black Blacklivessss
Liberal,"Finally churches have come to join the protest crying for order in the police department. Brutality by police is enough, they said. Most of Christians from different churches converged Sunday outside the Rogers Park District police station with respect to police accountability. The event was one of the major protests coordinated by the Community Renewal Society Sunday beckoning city officials to adopt the FAIR COPS ordinance which would install an independent auditor to check the mayor's authority on police matters. The Christians believe that with their cry, a good results will come out of it.       Follow my Facebook: https://www.facebook.comnVilliamsandKalvin Subscribe to my YouTube Channel: https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg Follow me on Twitter: https://twitter.com/Williams8kalvin"
Liberal,"̀ Family Feud' contestant speaks out about epic fail that went viral Guy! This is funny but astonishing. What will you say if you were asked to say another way to call mum without mentioning ""mom/mummy"" and ""mama""? Check this out! #Familyfeud"
Liberal,"Our heart goes out to the Montgomery family. Andre Montgomery, grandson of Robbie Montgomery, owner of Sweetie Pie's restaurants was shot and killed on Monday night. Much condolence to the Montgomery family."
Liberal,"Last Saturday night. 68-year-old David Rice, also known as Mondo we Langa, a former Black Panther passed away Nebraska prison. In 1970, Rice was one of the two officers who were charged for the murder of Omaha police officer, Larry Minard. Authorities claim they coaxed Larry to a house with a 911 call, and then detonated a homemade bomb that killed him. He was the seventh-longest-serving inmate in Nebraska. Subsequent paroles and retrials were denied for these two men. Langa was in prison for 45 years. Details of the cause of his death are still unknown. Rest in peace, Mondo we Langa. #MondoweLanga #blackpanther #LarryMinard"
Conservative,Serena Williams will be world's highest paid female athlete — After her dominance in the singles women tennis championship. Congratulations to her for lifting the image of Black Americans. Her achievement is ours and we're with her all the way through. #SelinaWilliams #Highlypaidfemaleathlete #BlackWomenAchievements
Liberal,Trayvon Martin's lawyers wearing hoodies. Wearing hoodie doesn't make me a criminal. Click Learn more! Black America ( @black Blacklivessss
Conservative,•tells us her story and related it to the black community in which boys and  men go through a whole lot to make it in life.  #WillianmsandKalv1n
Conservative,"TAG YOUR PHOTOS WITH #TXagainst Send us the reason why don't you want illegals in Texas. Comments, photos, and videos are welcomed!"
Liberal,Get breaking news of African American community in the US!
Liberal,"An unarmed black man who was shot by two officers in Florida in 2013 has been compensated by the state, through the effort of the Black Lives Matter. Fusion reported that the now-paralyzed Dontrell Stephens, the unarmed black man who was shot in Florida during traffic stop in September 2013, by Sgt. Adams Lin Black Man Shot By Police Receives $23M Settlement Because of BLM I Black Matters Black Matters"
Liberal,"Nine Black Lives Matter protesters were arrested after a counter-protest at a ""pro-white"" rally, organized by members of Ku Klux Klan in Georgia. A white- power rally was held over the weekend by members of KKK, Aryan Nation sects and other white supremacist groups to celebrate the Confederate Memorial Day BLM Members Arrested For Counter-Protest Against ""White- Power Rally In Georgia I Black Matters Black Matters"
Liberal,Ad ID 441  Ad Text It's time for THE PEOPLE to stand for Constitutional rights! Join•     Location: United States: Atlanta (+50 km) Georgia  : 18 - 59  Language: English (UK) or English (US)  : News Feed on desktop computers or News Feed on mobile  devices  : : Independence or Patriotism   15   0   24.95 RUB   04/13/16 03:23:03 AM PDT   P(1 )0000062  Redactions Completed at the Direction of Ranking Member  of the US House Permanent Select Committee on Intelligence
Liberal,Ad ID 462  Ad Text Join the Crusade against Federal tyranny! Protect the Constitution! -    Location: United States: Atlanta (+50 km) Georgia  : 18 - 59  Language: English (UK) or English (US)  : News Feed on desktop computers or News Feed on mobile  devices  : : Independence or Patriotism   60   1   48.63 RUB   04/13/16 03:24:25 AM PDT   P(1 )0000066  Redactions Completed at the Direction of Ranking Member  of the US House Permanent Select Committee on Intelligence
Liberal,Ad ID 463  Ad Text Join the Crusade against Federal tyranny! Protect the Constitution! -    Location: United States: Atlanta (+50 km) Georgia  : 18 - 59  Language: English (UK) or English (US)  : News Feed on desktop computers or News Feed on mobile  devices  : : Independence or Patriotism   14   0   11.24 RUB   04/13/16 03:24:30 AM PDT   P(1 )0000068  Redactions Completed at the Direction of Ranking Member  of the US House Permanent Select Committee on Intelligence
